Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
ENT-Floral Designers,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Graphic Designers,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,246,60
ENT-Interior Designers,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,132
ENT-Merchandise Displayers And Window Trimmers,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,193,0,0,0,0,0,0,0,0,0,0,0
ENT-Other Designers,998,573,0,0,0,0,80,0,106,271,0,116,0,0,0,425,0,0,0,0,0,0,286,0,139,0,0,0,0
ENT-Actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Producers And Directors,1259,221,0,0,0,0,0,0,0,98,0,0,0,123,0,1038,153,271,0,0,0,334,77,0,0,0,0,51,152
ENT-Athletes and Sports Competitors,118,118,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Coaches and Scouts,3327,1281,78,99,73,0,21,0,773,183,0,0,0,0,54,2046,0,28,873,479,53,484,66,0,0,0,0,0,63
"ENT-Umpires, Referees, And Other Sports Officials",360,360,0,0,0,0,0,0,154,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Dancers And Choreographers,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,88,0,0,0,0,0,0,0,0,134,0,0
ENT-Music Directors and Composers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Musicians and Singers,623,623,0,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENT-Disc Jockeys, Except Radio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENT-Entertainers And Performers, Sports and Related Workers, All Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Broadcast Announcers And Radio Disc Jockeys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENT-News Analysts, Reporters, And Journalists",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0
ENT-Public Relations Specialists,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,257,0,138,0,0,0,0,0
ENT-Editors,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,168,0
ENT-Technical Writers,174,174,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Writers And Authors,1272,208,0,0,0,0,0,82,126,0,0,0,0,0,0,1064,0,0,195,22,110,355,149,0,107,126,0,0,0
ENT-Interpreters and Translators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Court Reporters and Simultaneous Captioners,139,139,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENT-Media And Communication Workers, All Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Other Media And Communication Equipment Workers,323,239,0,0,0,0,39,0,0,0,106,0,57,0,37,84,0,0,0,0,84,0,0,0,0,0,0,0,0
ENT-Photographers,792,104,0,0,0,0,0,0,0,0,41,63,0,0,0,688,0,0,0,0,0,373,0,0,0,0,0,164,151
"ENT-Television, Video, And Film Camera Operators And Editors",1265,967,0,0,0,0,89,0,88,76,90,129,331,0,164,298,0,0,86,0,0,0,212,0,0,0,0,0,0
MED-Chiropractors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Dentists,131,76,0,0,0,0,0,0,0,0,0,76,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,55,0
MED-Dietitians And Nutritionists,308,163,0,0,93,0,70,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,145,0,0,0,0
MED-Optometrists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Pharmacists,1053,685,0,0,0,0,0,0,117,64,0,0,226,0,278,368,0,0,0,0,0,0,0,142,0,188,38,0,0
MED-Physicians,934,531,0,0,0,0,0,0,0,0,0,65,0,145,321,403,0,0,0,0,0,0,72,0,43,0,74,121,93
MED-Surgeons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Physician Assistants,840,125,0,0,0,0,0,0,0,0,125,0,0,0,0,715,0,0,0,0,0,0,0,0,84,0,0,585,46
MED-Podiatrists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Audiologists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Occupational Therapists,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,72,0,0,0,67,0,52,144,145,0,0
MED-Physical Therapists,823,304,0,0,0,0,0,0,0,0,0,0,188,116,0,519,0,0,0,0,0,84,0,0,0,0,134,208,93
MED-Radiation Therapists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Recreational Therapists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Respiratory Therapists,131,30,0,0,0,0,0,0,0,30,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,101
MED-Speech-Language Pathologists,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,381,0,86,0,0,0,0,98
MED-Other Therapists,2787,244,0,0,0,0,0,0,0,0,0,0,0,56,188,2543,0,0,0,0,966,246,0,0,50,1030,106,88,57
MED-Veterinarians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Registered Nurses,9124,1418,0,0,0,71,161,0,421,434,136,50,56,23,66,7706,0,0,231,40,343,234,1570,537,1249,965,877,942,718
MED-Nurse Anesthetists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MED-Nurse Practitioners, And Nurse Midwives",1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,0,0,572,154,0,0,103,213
MED-Acupuncturists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Clinical Laboratory Technologists And Technicians,1329,281,0,0,0,213,35,33,0,0,0,0,0,0,0,1048,0,0,63,71,128,252,0,0,92,112,274,0,56
MED-Dental Hygienists,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,46,100,71,48,179,53
MED-Cardiovascular Technologists and Technicians,94,47,0,0,0,0,0,0,0,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,47,0,0,0
MED-Diagnostic Medical Sonographers,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,0,0,0,0,0
MED-Radiologic Technologists And Technicians,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,67,0,51,0,0,0
MED-Magnetic Resonance Imaging Technologists,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,67,62,0,0,0,0,0
MED-Nuclear Medicine Technologists and Medical Dosimetrists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Emergency Medical Technicians,1415,909,344,174,0,0,43,0,0,0,103,144,101,0,0,506,0,192,0,0,0,0,0,134,0,0,60,120,0
MED-Paramedics,443,398,0,0,0,0,0,0,80,0,205,0,0,0,113,45,0,0,0,0,0,0,0,0,0,0,0,0,45
MED-Pharmacy Technicians,2138,643,0,0,0,0,244,0,199,157,0,0,43,0,0,1495,0,179,0,194,34,379,0,95,0,413,201,0,0
MED-Psychiatric Technicians,731,93,0,0,0,0,0,93,0,0,0,0,0,0,0,638,0,0,0,0,481,0,0,77,0,0,46,34,0
MED-Surgical Technologists,59,59,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Veterinary Technologists and Technicians,1905,113,0,0,0,0,0,0,0,113,0,0,0,0,0,1792,186,0,272,0,0,0,338,267,64,157,241,63,204
MED-Dietetic Technicians And Ophthalmic Medical Technicians,89,89,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Licensed Practical And Licensed Vocational Nurses,1319,569,0,0,0,0,0,478,0,0,0,0,0,91,0,750,0,0,242,98,82,0,0,0,233,64,0,0,31
MED-Medical Records Specialists,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,69,0,0,59,249,0
"MED-Opticians, Dispensing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED-Miscellaneous Health Technologists and Technicians,456,366,0,260,0,0,0,0,0,0,106,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,0,0
MED-Other Healthcare Practitioners and Technical Occupations,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,41,0,32,0,0
HLS-Home Health Aides,639,200,0,0,200,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,171,0,125,143,0
HLS-Personal Care Aides,4537,658,0,0,0,0,0,0,504,100,0,0,0,0,54,3879,0,0,378,528,51,408,427,241,1046,267,172,361,0
HLS-Nursing Assistants,4211,416,32,96,0,0,0,0,0,81,0,0,0,207,0,3795,91,0,0,349,316,0,636,0,689,307,0,938,469
HLS-Orderlies and Psychiatric Aides,627,627,0,0,0,0,51,412,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLS-Occupational Therapy Assistants And Aides,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,0,220,80,94,0,0,0,0,369,0,0
HLS-Physical Therapist Assistants And Aides,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,128,159,105,0,0,0,93,36,0,0,0,0,50
HLS-Massage Therapists,227,82,0,0,0,0,0,0,0,0,82,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,145
HLS-Dental Assistants,548,95,0,0,0,0,0,0,0,95,0,0,0,0,0,453,0,0,0,0,0,0,0,0,165,0,189,0,99
HLS-Medical Assistants,4802,390,0,0,0,0,0,44,164,0,0,182,0,0,0,4412,0,0,0,521,584,309,110,662,584,546,311,435,350
HLS-Medical Transcriptionists,89,89,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLS-Pharmacy Aides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLS-Veterinary Assistants And Laboratory Animal Caretakers,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,34,0,0,162,0,0,0,0,0,0
HLS-Phlebotomists,303,68,0,0,0,0,0,0,0,0,0,68,0,0,0,235,0,0,0,0,0,47,0,127,0,0,0,0,61
HLS-Other Healthcare Support Workers,908,426,0,0,0,86,0,0,0,70,104,28,138,0,0,482,0,0,0,0,0,0,0,62,75,0,125,69,151
PRT-First-Line Supervisors Of Correctional Officers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-First-Line Supervisors Of Police And Detectives,197,197,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-First-Line Supervisors Of Firefighting And Prevention Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Firefighters,119,119,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Fire Inspectors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Bailiffs,257,257,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Correctional Officers and Jailers,854,766,0,0,0,0,0,0,240,0,110,259,0,157,0,88,0,0,0,0,0,0,0,0,0,0,88,0,0
PRT-Detectives And Criminal Investigators,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,57,0,0,0,0,0
PRT-Fish And Game Wardens And Parking Enforcement Officers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Police Officers,1227,919,0,0,0,0,0,0,117,99,79,427,53,78,66,308,0,0,0,0,0,0,0,0,0,0,218,0,90
PRT-Animal Control Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Private Detectives And Investigators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Security Guards And Gambling Surveillance Officers,3273,2963,227,0,0,0,0,268,348,249,36,190,917,207,521,310,0,0,310,0,0,0,0,0,0,0,0,0,0
PRT-Crossing Guards And Flaggers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-Transportation Security Screeners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT-School Bus Monitors,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,152,0,0,0,0
PRT-Other Protective Service Workers,4882,1281,686,312,222,61,0,0,0,0,0,0,0,0,0,3601,1695,1339,567,0,0,0,0,0,0,0,0,0,0
EAT-Chefs And Head Cooks,583,523,7,0,0,0,0,232,67,141,0,32,0,0,44,60,0,0,0,0,0,0,0,0,0,0,0,0,60
EAT-First-Line Supervisors Of Food Preparation And Serving Workers,3465,2608,493,278,162,0,186,0,0,0,579,0,186,524,200,857,0,0,108,68,33,0,0,0,0,128,64,0,456
EAT-Cooks,9646,6737,782,1180,731,46,266,21,397,409,536,892,521,271,685,2909,218,455,780,212,169,56,270,273,476,0,0,0,0
EAT-Food Preparation Workers,5350,2525,400,340,262,407,171,116,190,79,161,0,184,0,215,2825,587,1525,0,0,119,264,330,0,0,0,0,0,0
EAT-Bartenders,3612,723,0,0,0,104,0,177,325,0,101,0,16,0,0,2889,0,0,401,513,169,0,132,1019,0,218,48,389,0
EAT-Fast Food And Counter Workers,8153,2614,677,907,233,0,104,448,245,0,0,0,0,0,0,5539,906,1432,444,672,1048,326,19,86,43,0,0,356,207
EAT-Waiters And Waitresses,15059,6283,1490,925,789,445,805,540,365,232,123,195,300,0,74,8776,1187,526,2021,1251,905,744,440,504,486,349,116,83,164
"EAT-Food Servers, Nonrestaurant",1188,550,37,111,169,233,0,0,0,0,0,0,0,0,0,638,185,322,0,0,0,0,131,0,0,0,0,0,0
EAT-Dining Room And Cafeteria Attendants And Bartender Helpers,2097,1940,308,785,99,114,43,236,90,0,0,87,0,0,178,157,0,0,0,157,0,0,0,0,0,0,0,0,0
EAT-Dishwashers,2385,2385,622,425,84,0,64,0,0,693,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",2252,364,0,209,0,122,0,0,33,0,0,0,0,0,0,1888,141,1032,195,464,0,0,0,0,0,0,0,0,56
"EAT-Food Preparation and Serving Related Workers, All Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers",314,314,0,0,0,0,0,0,0,118,133,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLN-Janitors And Building Cleaners,8057,5962,351,307,46,480,853,638,333,182,559,371,1121,210,511,2095,0,319,0,0,0,301,471,0,145,462,397,0,0
CLN-Maids And Housekeeping Cleaners,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162,0,0,0,0,211,0,231,0,481,280,646,0,313
CLN-Pest Control Workers,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,61,0,0,178,0,0
CLN-Landscaping And Groundskeeping Workers,4768,4542,71,448,201,522,113,36,42,163,138,311,1060,1020,417,226,0,0,0,98,0,0,0,0,128,0,0,0,0
CLN-Tree Trimmers and Pruners,1051,1051,0,152,0,0,75,0,228,0,236,0,266,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLN-Other Grounds Maintenance Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRS-Supervisors Of Personal Care And Service Workers,402,402,0,0,0,0,0,0,0,0,0,0,201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRS-Animal Trainers,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,494,58,0,0,0,0,0,0,79,0,0,33
PRS-Animal Caretakers,2215,250,0,0,0,0,151,0,99,0,0,0,0,0,0,1965,0,32,596,639,185,0,0,140,0,0,0,373,0
PRS-Gambling Services Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRS-Ushers, Lobby Attendants, And Ticket Takers",1518,515,297,0,0,75,74,0,0,0,69,0,0,0,0,1003,281,50,247,425,0,0,0,0,0,0,0,0,0
PRS-Other Entertainment Attendants And Related Workers,3175,1069,611,0,0,0,360,61,37,0,0,0,0,0,0,2106,141,552,370,177,196,670,0,0,0,0,0,0,0
"PRS-Embalmers, Crematory Operators And Funeral Attendants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRS-Morticians, Undertakers, And Funeral Arrangers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRS-Barbers,711,711,0,0,0,0,308,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRS-Hairdressers, Hairstylists, And Cosmetologists",2849,135,73,0,0,0,0,0,0,0,0,62,0,0,0,2714,0,230,57,0,0,0,170,284,398,623,52,606,294
PRS-Manicurists And Pedicurists,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,72,0,0
PRS-Skincare Specialists,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,73,0,0,0,0,199
PRS-Other Personal Appearance Workers,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,81,0
"PRS-Baggage Porters, Bellhops, And Concierges",307,307,0,0,0,155,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRS-Tour And Travel Guides,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRS-Childcare Workers,8752,1081,0,61,0,0,202,0,430,388,0,0,0,0,0,7671,1875,1697,512,332,713,857,602,389,99,68,198,167,162
PRS-Exercise Trainers And Group Fitness Instructors,1723,1196,0,482,0,0,0,0,0,273,0,46,70,196,129,527,0,0,0,0,183,253,0,0,0,91,0,0,0
PRS-Recreation Workers,5393,3270,639,364,917,1058,105,0,0,141,0,0,0,0,46,2123,722,986,211,0,127,0,0,0,0,0,77,0,0
PRS-Residential Advisors,1157,804,0,0,343,160,43,258,0,0,0,0,0,0,0,353,0,0,231,0,122,0,0,0,0,0,0,0,0
"PRS-Personal Care and Service Workers, All Other",1078,61,0,0,0,0,0,0,0,61,0,0,0,0,0,1017,0,0,0,352,0,0,0,0,284,0,175,74,132
SAL-First-Line Supervisors Of Retail Sales Workers,8096,3533,253,0,41,0,32,378,103,352,236,371,651,385,731,4563,197,90,390,337,523,314,56,173,298,716,167,146,1156
SAL-First-Line Supervisors Of Non-Retail Sales Workers,1470,691,0,0,0,51,101,104,92,0,72,0,0,0,271,779,0,0,0,0,213,0,0,0,0,0,176,222,168
SAL-Cashiers,27262,9994,2562,2348,1324,916,192,336,404,0,358,280,236,161,877,17268,3604,4071,1110,1851,1631,1440,1064,539,115,615,234,933,61
SAL-Counter And Rental Clerks,536,435,0,316,0,0,0,0,0,0,0,119,0,0,0,101,0,0,0,0,0,0,101,0,0,0,0,0,0
SAL-Parts Salespersons,295,295,0,0,0,0,0,0,0,0,0,133,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL-Retail Salespersons,19358,10905,500,724,734,1544,1704,1475,426,1060,685,429,298,509,817,8453,870,1236,668,962,731,1220,656,286,507,638,360,126,193
SAL-Advertising Sales Agents,1238,428,0,0,0,0,0,0,0,428,0,0,0,0,0,810,0,0,99,0,0,112,480,119,0,0,0,0,0
SAL-Insurance Sales Agents,1523,1298,0,0,0,0,53,216,146,216,0,52,222,393,0,225,0,0,0,0,0,0,0,0,0,99,126,0,0
"SAL-Securities, Commodities, And Financial Services Sales Agents",793,666,0,0,0,0,0,0,87,164,147,0,268,0,0,127,0,0,0,0,127,0,0,0,0,0,0,0,0
SAL-Travel Agents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",1201,401,0,0,13,0,0,0,261,127,0,0,0,0,0,800,0,0,0,0,0,0,504,0,0,266,30,0,0
"SAL-Sales Representatives, Wholesale And Manufacturing",1352,899,207,0,0,0,0,0,232,59,0,185,59,46,111,453,0,0,0,0,0,0,0,0,49,221,0,0,183
"SAL-Models, Demonstrators, And Product Promoters",704,226,0,0,0,142,0,84,0,0,0,0,0,0,0,478,0,0,405,73,0,0,0,0,0,0,0,0,0
SAL-Real Estate Brokers And Sales Agents,636,32,0,0,0,0,0,0,0,0,0,0,0,32,0,604,0,0,0,0,0,0,0,430,0,0,0,0,174
SAL-Sales Engineers,295,295,0,0,0,0,0,0,133,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL-Telemarketers,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,73,0,0,0,0,0,0
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAL-Sales And Related Workers, All Other",1528,626,0,98,0,0,0,0,0,123,0,78,262,65,0,902,0,100,207,0,0,191,0,36,48,183,68,69,0
OFF-First-Line Supervisors Of Office And Administrative Support Workers,1388,845,0,0,0,0,279,0,0,0,443,0,0,123,0,543,0,0,0,0,0,0,0,36,64,0,0,443,0
"OFF-Switchboard Operators, Including Answering Service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Telephone Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OFF-Communications Equipment Operators, All Other",8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Bill And Account Collectors,58,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Billing And Posting Clerks,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,96,0,310,263,0
"OFF-Bookkeeping, Accounting, And Auditing Clerks",1461,846,0,318,0,0,0,132,396,0,0,0,0,0,0,615,0,0,0,0,0,48,242,68,0,72,120,0,65
OFF-Payroll And Timekeeping Clerks,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,45,0,0,0,0,0
OFF-Procurement Clerks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Tellers,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,0,0,330,0,0,234,0,0,154,133,0,0,0
OFF-Other Financial Clerks,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,130,0,0,0,89,0,0,0,0,0,0
"OFF-Court, Municipal, And License Clerks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OFF-Credit Authorizers, Checkers, And Clerks",188,188,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Customer Service Representatives,10268,2727,392,167,145,339,191,74,248,285,574,119,0,84,109,7541,424,1633,335,292,461,1311,493,301,99,635,936,315,306
"OFF-Eligibility Interviewers, Government Programs",57,57,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-File Clerks,412,159,0,0,0,0,101,0,0,58,0,0,0,0,0,253,0,0,0,0,253,0,0,0,0,0,0,0,0
"OFF-Hotel, Motel, And Resort Desk Clerks",1106,88,0,0,0,75,0,0,13,0,0,0,0,0,0,1018,0,0,192,283,117,0,123,0,168,0,0,135,0
"OFF-Interviewers, Except Eligibility And Loan",571,140,0,0,0,0,55,0,0,0,85,0,0,0,0,431,0,0,192,109,130,0,0,0,0,0,0,0,0
"OFF-Library Assistants, Clerical",1345,198,0,0,0,0,0,0,0,0,0,0,0,198,0,1147,0,321,414,131,0,0,0,0,162,0,0,119,0
