Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
"BUS-Wholesale And Retail Buyers, Except Farm Products",818,379,0,0,0,0,257,0,29,0,0,0,0,0,93,439,0,0,0,160,0,204,0,0,0,0,0,75,0
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products",182,81,0,0,0,0,0,0,0,0,0,0,0,81,0,101,0,0,0,0,0,0,0,0,0,0,0,101,0
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators",925,403,0,0,0,0,0,0,0,149,0,75,0,179,0,522,0,0,0,0,0,0,0,0,207,0,139,176,0
BUS-Compliance Officers,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,70,0,120,0,0
BUS-Cost Estimators,83,83,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS-Human Resources Workers,1940,1066,0,0,0,235,0,147,312,0,0,192,0,80,100,874,0,119,0,0,222,55,14,83,0,94,92,195,0
"BUS-Compensation, Benefits, And Job Analysis Specialists",365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,365,0,0,0,0,0,0
BUS-Training And Development Specialists,464,161,0,0,0,0,123,0,0,0,0,38,0,0,0,303,0,0,0,0,0,0,0,0,79,0,0,224,0
BUS-Logisticians,69,69,0,0,0,0,0,0,51,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS-Project Management Specialists,1460,850,0,0,0,0,0,0,0,0,0,121,131,147,451,610,0,0,0,0,0,198,77,0,0,101,0,76,158
BUS-Management Analysts,2257,1367,0,0,0,0,106,465,291,50,64,134,257,0,0,890,0,0,0,90,0,0,74,294,107,0,52,273,0
"BUS-Meeting, Convention, And Event Planners",614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,352,143,0,119,0,0
BUS-Fundraisers,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0
BUS-Market Research Analysts And Marketing Specialists,2657,1069,0,0,0,184,161,0,0,0,297,99,207,77,44,1588,0,0,0,0,0,374,399,139,111,224,341,0,0
"BUS-Business Operations Specialists, All Other",885,349,0,0,0,0,0,0,90,0,109,0,80,0,70,536,0,0,0,0,0,76,327,0,133,0,0,0,0
FIN-Accountants And Auditors,5229,3481,0,0,0,0,378,985,177,472,0,881,153,128,307,1748,0,0,0,0,253,74,257,324,321,0,195,102,222
FIN-Property Appraisers and Assessors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN-Budget Analysts,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,46,33,89,0
FIN-Credit Analysts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN-Financial And Investment Analysts,987,690,0,0,0,0,0,220,213,66,48,143,0,0,0,297,0,0,0,0,0,0,0,94,51,0,0,99,53
FIN-Personal Financial Advisors,1807,1483,0,0,0,0,0,246,144,262,63,179,139,267,183,324,0,0,0,80,0,0,0,0,67,0,0,0,177
FIN-Insurance Underwriters,575,236,0,0,0,0,0,0,0,56,0,0,0,83,97,339,0,0,0,0,0,0,0,0,73,0,53,115,98
FIN-Financial Examiners,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,189,0,0,0,0,0
FIN-Credit Counselors And Loan Officers,205,104,0,0,0,0,0,0,0,0,0,0,104,0,0,101,0,0,0,0,0,33,0,0,0,0,0,0,68
"FIN-Tax Examiners And Collectors, And Revenue Agents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN-Tax Preparers,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,49,0,0,0,0,108
FIN-Other Financial Specialists,115,73,0,0,0,0,0,0,0,73,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0
CMM-Computer And Information Research Scientists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMM-Computer Systems Analysts,2035,1127,0,0,0,0,0,134,0,204,138,94,129,296,132,908,0,0,0,122,268,143,0,218,54,0,103,0,0
CMM-Information Security Analysts,624,505,0,0,0,0,0,132,0,0,0,229,0,144,0,119,0,0,0,0,0,0,0,0,0,69,50,0,0
